"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
86.4,5,200,"BS10 5JN","BS10 5","BRISTOL","CITY OF BRISTOL"
112.2,12.2,300,"BS10 5JP","BS10 5","BRISTOL","CITY OF BRISTOL"
55.7,4.5,200,"BS10 5JQ","BS10 5","BRISTOL","CITY OF BRISTOL"
59,7.1,100,"BS10 5JR","BS10 5","BRISTOL","CITY OF BRISTOL"
52.9,7.2,106.3,"BS10 5JS","BS10 5","BRISTOL","CITY OF BRISTOL"
84.7,12.1,200,"BS10 5JT","BS10 5","BRISTOL","CITY OF BRISTOL"
69.5,6.1,200,"BS10 5JU","BS10 5","BRISTOL","CITY OF BRISTOL"
96.6,7.6,200,"BS10 5JX","BS10 5","BRISTOL","CITY OF BRISTOL"
62.6,2.2,150,"BS10 5JZ","BS10 5","BRISTOL","CITY OF BRISTOL"
78.2,20.8,150,"BS10 5LG","BS10 5","BRISTOL","CITY OF BRISTOL"
89.8,4.7,200,"BS10 5LH","BS10 5","BRISTOL","CITY OF BRISTOL"
85.9,6.1,200,"BS10 5LJ","BS10 5","BRISTOL","CITY OF BRISTOL"
87.7,6.7,200,"BS10 5LN","BS10 5","BRISTOL","CITY OF BRISTOL"
85.3,10.7,200,"BS10 5LT","BS10 5","BRISTOL","CITY OF BRISTOL"
97,11.3,200,"BS10 5LU","BS10 5","BRISTOL","CITY OF BRISTOL"
57.7,5.1,200,"BS10 5LW","BS10 5","BRISTOL","CITY OF BRISTOL"
62.7,1.9,200,"BS10 5LZ","BS10 5","BRISTOL","CITY OF BRISTOL"
50.8,7.5,200,"BS10 5NA","BS10 5","BRISTOL","CITY OF BRISTOL"
91.3,13.9,200,"BS10 5NF","BS10 5","BRISTOL","CITY OF BRISTOL"
84.2,8.6,200,"BS10 5NG","BS10 5","BRISTOL","CITY OF BRISTOL"
72.3,15.6,200,"BS10 5NH","BS10 5","BRISTOL","CITY OF BRISTOL"
74.5,4,200,"BS10 5PA","BS10 5","BRISTOL","CITY OF BRISTOL"
72.9,8.9,200,"BS10 5PF","BS10 5","BRISTOL","CITY OF BRISTOL"
63.5,14.9,200,"BS10 5PG","BS10 5","BRISTOL","CITY OF BRISTOL"
65,2.8,200,"BS10 5PL","BS10 5","BRISTOL","CITY OF BRISTOL"
96.8,8.3,200,"BS10 5PN","BS10 5","BRISTOL","CITY OF BRISTOL"
31.6,6.6,100,"BS10 5PQ","BS10 5","BRISTOL","CITY OF BRISTOL"
65.1,10.4,200,"BS10 5PU","BS10 5","BRISTOL","CITY OF BRISTOL"
100.9,12.4,200,"BS10 5PW","BS10 5","BRISTOL","CITY OF BRISTOL"
57.1,15.4,150,"BS10 5PX","BS10 5","BRISTOL","CITY OF BRISTOL"
55.6,11.2,200,"BS10 5PY","BS10 5","BRISTOL","CITY OF BRISTOL"
95.4,22.6,200,"BS10 5PZ","BS10 5","BRISTOL","CITY OF BRISTOL"
54,14.2,300,"BS10 5QA","BS10 5","BRISTOL","CITY OF BRISTOL"
74.3,9.7,200,"BS10 5QH","BS10 5","BRISTOL","CITY OF BRISTOL"
64.7,2.9,200,"BS10 5QJ","BS10 5","BRISTOL","CITY OF BRISTOL"
54.3,15.2,200,"BS10 5QL","BS10 5","BRISTOL","CITY OF BRISTOL"
83.3,0.5,200,"BS10 5QN","BS10 5","BRISTOL","CITY OF BRISTOL"
63.7,13.9,200,"BS10 5QP","BS10 5","BRISTOL","CITY OF BRISTOL"
74.4,13.2,200,"BS10 5QT","BS10 5","BRISTOL","CITY OF BRISTOL"
81.9,10.5,200,"BS10 5QU","BS10 5","BRISTOL","CITY OF BRISTOL"
60.7,5.1,200,"BS10 5QX","BS10 5","BRISTOL","CITY OF BRISTOL"
86,6.7,200,"BS10 5QY","BS10 5","BRISTOL","CITY OF BRISTOL"
70.6,14.7,200,"BS10 5QZ","BS10 5","BRISTOL","CITY OF BRISTOL"
